"pmorigin","area_ac","n_polygons","area_cumulative_proportion"
"Mixed",13448536,39339,0.105241913641809
"Volcanic rock",11365813,33407,0.194185417248071
"Granite",11129699,85486,0.281281203809324
"Basalt",10765926,35665,0.365530274069916
"Sedimentary rock",6154350,53945,0.413691320835264
"Igneous rock",5832461,40422,0.459333415772677
"Sandstone",5375224,49123,0.501397389131069
"Andesite",5187883,20338,0.541995319989105
"Welded tuff",4655037,9040,0.578423448816914
"Metasedimentary rock",4091184,35344,0.610439129424881
"Tuff",3729820,16898,0.639626945432474
"Sandstone and shale",3382979,33391,0.666100547002939
"Rhyolite",2963076,7483,0.689288185308411
"Granodiorite",2834259,20676,0.711467762395204
"Metavolcanics",2803244,25716,0.733404630688148
"Metamorphic rock",2474831,19753,0.752771493399455
"Limestone and dolomite",2401018,2968,0.77156073031033
"Limestone",2268430,3414,0.789312395931219
"Igneous, metamorphic and sedimentary rock",2046401,15906,0.805326567088475
"Igneous and sedimentary rock",1744191,6832,0.818975785010546
"Shale",1694898,13818,0.832239259112684
"Tuff breccia",1512199,14188,0.844073016821868
"Sandstone and siltstone",1367400,27887,0.854773645701755
"Schist",1362080,11554,0.865432642765319
"Igneous and metamorphic rock",1304629,8373,0.875642055340234
"Mudstone",1176676,12203,0.884850167953859
"Granitoid",1104900,4957,0.893496595370407
"Quartzite",1086784,2419,0.902001255496632
"Metamorphic and sedimentary rock",984701,11685,0.909707062106735
"Serpentinite",878013,6786,0.916577978637901
"Volcanic and sedimentary rock",789755,1912,0.922758229596681
"Calcareous shale",788617,9820,0.928929575103022
"Conglomerate",718669,6435,0.93455354048
"Mica schist",604661,5413,0.93928533290295
"Siltstone",547454,3512,0.943569450266421
"Volcanic breccia",530253,4363,0.947718960698955
"Calcareous sandstone",515877,5441,0.951755971321062
"Gneiss",470100,1024,0.955434752684552
"Quartz-diorite",432775,4452,0.958821446163778
"Basic igneous rock",420393,3764,0.962111243938169
"Slate",418002,3112,0.965382330871803
"Diorite",336410,3970,0.968014917211925
"Greenstone",330750,2053,0.970603211055733
"Pyroclastic rock",294193,989,0.972905427021844
"Phyllite",236873,1302,0.974759083643656
"Ultramafic rock",227573,1735,0.976539962842195
"Peridotite",224317,2177,0.97829536211706
"Dacite",213091,1285,0.979962911999058
"Gabbro",208688,2755,0.981596006075178
"Quartz-monzonite",193734,870,0.983112077184887
"Limestone and sandstone",169924,252,0.984441822439959
"Chert",168761,521,0.985762466604358
"Graywacke",168328,2747,0.987079722314533
"Basic volcanic breccia",154867,1311,0.988291638573668
"Acidic tuff",142003,2470,0.989402887222806
"Acid shale",130101,1425,0.990420996421213
"Pumice",112344,285,0.991300147694346
"Basic tuff",108861,1216,0.992152042648634
"Calcareous conglomerate",102216,840,0.992951936960165
"Limestone, sandstone, and shale",101296,513,0.993744631784662
"Calcareous siltstone",88440,328,0.994436721603396
"Volcanic sandstone",86337,1902,0.995112354333835
"Dolomite",85233,271,0.995779347679835
"Limestone and shale",80860,280,0.996412119985837
"Ignimbrite",75570,208,0.997003495241397
"Latite",58338,447,0.99746002097461
"Anorthosite",38539,23,0.997761609051546
"Shale and siltstone",37132,398,0.998052186608638
"Fanglomerate",31845,226,0.998301390591876
"Tonalite",28700,1217,0.998525983285201
"Marble",21097,287,0.998691078478619
"Clayey shale",19866,51,0.998846540445364
"Cinders",18016,105,0.998987525182749
"Volcanic and metamorphic rock",16900,111,0.999119776629341
"Non-volcanic breccia",16791,451,0.999251175093231
"Obsidian",14793,65,0.99936693814941
"Tufa",14197,62,0.999478037190077
"Diabase",13633,270,0.999584722632171
"Argillite",12636,55,0.999683606021469
"Acid igneous rock",9571,88,0.999758504163205
"Claystone",9563,110,0.999833339700706
"Interbedded sedimentary rock",8690,47,0.999901343551054
"Limestone and siltstone",5248,10,0.999942411929262
"Syenite",2577,15,0.999962578318485
"Granite and gneiss",2058,33,0.999978683257958
"Scoria",1850,1,0.999993160487318
"Trachyte",394,11,0.999996243745896
"Acidic volcanic breccia",388,9,0.999999280051297
"Diatomite",92,1,1
