"pmorigin","winnowed","winnowed.2"
"Mixed","mixed","mixed"
"Volcanic rock","volcanic rock","igneous extrusive rock"
"Granite","granite","igneous intrusive rock"
"Basalt","basalt","igneous extrusive rock"
"Sedimentary rock","Sedimentary rock","Sedimentary rock"
"Igneous rock","igneous rock","igneous rock"
"Sandstone","sandstone","Sedimentary rock"
"Andesite","andesite","igneous extrusive rock"
"Welded tuff","welded tuff","igneous extrusive rock"
"Metasedimentary rock","metasedimentary rock","metasedimentary rock"
"Tuff","tuff","igneous extrusive rock"
"Sandstone and shale","sandstone and shale","Sedimentary rock"
"Rhyolite","rhyolite","igneous extrusive rock"
"Granodiorite","granodiorite","igneous intrusive rock"
"Metavolcanics","metavolcanics","metavolcanic rock"
"Metamorphic rock","metamorphic rock","metamorphic rock"
"Limestone and dolomite","limestone and dolomite","Calcarous sedimentary rock"
"Limestone","limestone","Calcarous sedimentary rock"
"Igneous, metamorphic and sedimentary rock","igneous, metamorphic and sedimentary rock","igneous, metamorphic and sedimentary rock"
"Igneous and sedimentary rock","igneous and sedimentary rock","igneous and sedimentary rock"
"Shale","shale","Sedimentary rock"
"Tuff breccia","tuff breccia","igneous extrusive rock"
"Sandstone and siltstone","sandstone and siltstone","Sedimentary rock"
"Schist","schist","metasedimentary rock"
"Igneous and metamorphic rock","igneous and metamorphic rock","igneous and metamorphic rock"
"Mudstone","mudstone","Sedimentary rock"
"Granitoid","granite","igneous intrusive rock"
"Quartzite","quartzite","metasedimentary rock"
"Metamorphic and sedimentary rock","metamorphic and sedimentary rock","metamorphic and sedimentary rock"
"Serpentinite","serpentinite","ultramafic rock"
"Volcanic and sedimentary rock","volcanic and sedimentary rock","igneous extrusive and sedimentary rock"
"Calcareous shale","calcareous shale","Calcarous sedimentary rock"
"Conglomerate","conglomerate","conglomerate"
"Mica schist","mica schist","metasedimentary rock"
"Siltstone","siltstone","Sedimentary rock"
"Volcanic breccia","volcanic breccia","igneous intrusive rock"
"Calcareous sandstone","calcareous sandstone","Calcarous sedimentary rock"
"Gneiss","gneiss","gneiss"
"Quartz-diorite","granodiorite","igneous intrusive rock"
"Basic igneous rock","igneous rock","igneous rock"
"Slate","slate","Sedimentary rock"
"Diorite","diorite","igneous intrusive rock"
"Greenstone","metavolcanics","metavolcanic rock"
"Pyroclastic rock","pyroclastic rock","igneous extrusive rock"
"Phyllite","phyllite","metasedimentary rock"
"Ultramafic rock","ultramafic rock","ultramafic rock"
"Peridotite","peridotite","ultramafic rock"
"Dacite","dacite","igneous intrusive rock"
"Gabbro","gabbro","igneous intrusive rock"
"Quartz-monzonite","quartz-monzonite","igneous intrusive rock"
"Limestone and sandstone","limestone and sandstone","Calcarous sedimentary rock"
"Chert","chert","metasedimentary rock"
"Graywacke","graywacke","metasedimentary rock"
"Basic volcanic breccia"," volcanic breccia","igneous extrusive rock"
"Acidic tuff","rhyolite","igneous extrusive rock"
"Acid shale","shale","Sedimentary rock"
"Pumice","pumice","igneous extrusive rock"
"Basic tuff","andesitic tuff","igneous extrusive rock"
"Calcareous conglomerate","calcareous conglomerate","calcareous conglomerate"
"Limestone, sandstone, and shale","limestone, sandstone, and shale","calcareous sedimentary  rock"
"Calcareous siltstone","calcareous siltstone","calcareous sedimentary  rock"
"Volcanic sandstone","volcanic sandstone","igneous extrusive rock"
"Dolomite","dolomite","Sedimentary rock"
"Limestone and shale","limestone and shale","Calcarous sedimentary rock"
"Ignimbrite","ignimbrite","igneous extrusive rock"
"Latite","latite","igneous extrusive rock"
"Anorthosite","anorthosite","igneous intrusive rock"
"Shale and siltstone","shale and siltstone","Sedimentary rock"
"Fanglomerate","fanglomerate","fanglomerate"
"Tonalite","tonalite","igneous intrusive rock"
"Marble","marble","metasedimentary rock"
"Clayey shale","clayey shale","Sedimentary rock"
"Cinders","cinders","igneous extrusive rock"
"Volcanic and metamorphic rock","volcanic and metamorphic rock","igneous extrusive and metamorphic rock"
"Non-volcanic breccia","non-volcanic breccia","conglomerate"
"Obsidian","obsidian","igneous extrusive rock"
"Tufa","tufa","evaporite"
"Diabase","diabase","igneous intrusive rock"
"Argillite","argillite","Sedimentary rock"
"Acid igneous rock","acid igneous rock","igneous intrusive rock"
"Claystone","claystone","Sedimentary rock"
"Interbedded sedimentary rock","sedimentary rock","Sedimentary rock"
"Limestone and siltstone","limestone and siltstone","Calcarous sedimentary rock"
"Syenite","syenite","igneous intrusive rock"
"Granite and gneiss","granite and gneiss","igneous intrusive rock"
"Scoria","scoria","igneous extrusive rock"
"Trachyte","trachyte","igneous intrusive rock"
"Acidic volcanic breccia","acidic volcanic breccia","igneous extrusive rock"
"Diatomite","diatomite","diatomite"
